No.,Function,Optimizer,Epsilon,Iterations,Function calls,x_min,f(x_min),Status,Comment
1,Good unimodal quadratic,Brent (SciPy),0.1,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
2,Good unimodal quadratic,Brent (SciPy),0.01,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
3,Good unimodal quadratic,Brent (SciPy),0.001,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
4,Good unimodal quadratic,Brent (SciPy),0.0001,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
5,Good unimodal quadratic,Brent (SciPy),1e-05,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
6,Good unimodal quadratic,Brent (SciPy),1e-06,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
7,Good unimodal quadratic,Brent (SciPy),1e-07,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
8,Good unimodal quadratic,Brent (SciPy),1e-08,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
9,Good unimodal quadratic,Dichotomy,0.1,8,16,2.027578125,1.0007605529785155,success,Dichotomy search converged successfully.
10,Good unimodal quadratic,Dichotomy,0.01,11,22,2.0037392578125,1.0000139820489884,success,Dichotomy search converged successfully.
11,Good unimodal quadratic,Dichotomy,0.001,15,30,2.0000688171386725,1.0000000047357986,success,Dichotomy search converged successfully.
12,Good unimodal quadratic,Dichotomy,0.0001,18,36,2.0000114595794676,1.000000000131322,success,Dichotomy search converged successfully.
13,Good unimodal quadratic,Dichotomy,1e-05,21,42,2.000001718165399,1.000000000002952,success,Dichotomy search converged successfully.
14,Good unimodal quadratic,Dichotomy,1e-06,25,50,2.0000000261096407,1.0000000000000007,success,Dichotomy search converged successfully.
15,Good unimodal quadratic,Dichotomy,1e-07,28,56,2.000000001120848,1.0,success,Dichotomy search converged successfully.
16,Good unimodal quadratic,Dichotomy,1e-08,31,62,2.0000000500798834,1.0000000000000024,success,Dichotomy search converged successfully.
17,Good unimodal quadratic,Fibonacci,0.1,10,12,1.9722222222222223,1.0007716049382716,success,Fibonacci search converged successfully.
18,Good unimodal quadratic,Fibonacci,0.01,15,17,2.0037570444583586,1.0000141153830622,success,Fibonacci search converged successfully.
19,Good unimodal quadratic,Fibonacci,0.001,20,22,2.000338772514257,1.0000001147668165,success,Fibonacci search converged successfully.
20,Good unimodal quadratic,Fibonacci,0.0001,25,27,2.000010182366178,1.0000000001036806,success,Fibonacci search converged successfully.
21,Good unimodal quadratic,Fibonacci,1e-05,30,32,1.999999999999999,1.0,success,Fibonacci search converged successfully.
22,Good unimodal quadratic,Fibonacci,1e-06,34,36,2.00000026791063,1.0000000000000717,success,Fibonacci search converged successfully.
23,Good unimodal quadratic,Fibonacci,1e-07,39,41,2.000000016039371,1.0000000000000002,success,Fibonacci search converged successfully.
24,Good unimodal quadratic,Fibonacci,1e-08,44,46,2.000000009168548,1.0,success,Fibonacci search converged successfully.
25,Good unimodal quadratic,Golden Section,0.1,11,13,2.0129825472247127,1.000168546532442,success,Golden Section search converged successfully.
26,Good unimodal quadratic,Golden Section,0.01,16,18,2.000295639318738,1.0000000874026067,success,Golden Section search converged successfully.
27,Good unimodal quadratic,Golden Section,0.001,20,22,1.9999421307459295,1.0000000033488505,success,Golden Section search converged successfully.
28,Good unimodal quadratic,Golden Section,0.0001,25,27,1.9999937069516163,1.0000000000396025,success,Golden Section search converged successfully.
29,Good unimodal quadratic,Golden Section,1e-05,30,32,2.0000012318186142,1.0000000000015175,success,Golden Section search converged successfully.
30,Good unimodal quadratic,Golden Section,1e-06,35,37,1.9999998747849463,1.0000000000000158,success,Golden Section search converged successfully.
31,Good unimodal quadratic,Golden Section,1e-07,39,41,1.9999999971485958,1.0,success,Golden Section search converged successfully.
32,Good unimodal quadratic,Golden Section,1e-08,44,46,2.000000008182119,1.0,success,Golden Section search converged successfully.
33,Good unimodal quadratic,Parabola,0.1,3,5,2.0,1.0,success,Parabola search converged successfully.
34,Good unimodal quadratic,Parabola,0.01,3,5,2.0,1.0,success,Parabola search converged successfully.
35,Good unimodal quadratic,Parabola,0.001,3,5,2.0,1.0,success,Parabola search converged successfully.
36,Good unimodal quadratic,Parabola,0.0001,3,5,2.0,1.0,success,Parabola search converged successfully.
37,Good unimodal quadratic,Parabola,1e-05,3,5,2.0,1.0,success,Parabola search converged successfully.
38,Good unimodal quadratic,Parabola,1e-06,3,5,2.0,1.0,success,Parabola search converged successfully.
39,Good unimodal quadratic,Parabola,1e-07,3,5,2.0,1.0,success,Parabola search converged successfully.
40,Good unimodal quadratic,Parabola,1e-08,3,5,2.0,1.0,success,Parabola search converged successfully.
41,Good unimodal quadratic,Passive search,0.1,280,281,2.0,1.0,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
42,Good unimodal quadratic,Passive search,0.01,2800,2801,2.0,1.0,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
43,Good unimodal quadratic,Passive search,0.001,28000,28001,2.0,1.0,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
44,Good unimodal quadratic,Passive search,0.0001,280000,280001,2.0,1.0,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
45,Good unimodal quadratic,Passive search,1e-05,999999,1000000,2.0,1.0,warning,"Limited to 1000000 evaluations; actual localization width = 2.800e-05 > requested 1.000e-05. Grid scan finished. h = 1.400e-05, localization width <= 2.800e-05."
46,Good unimodal quadratic,Passive search,1e-06,999999,1000000,2.0,1.0,warning,"Limited to 1000000 evaluations; actual localization width = 2.800e-05 > requested 1.000e-06. Grid scan finished. h = 1.400e-05, localization width <= 2.800e-05."
47,Good unimodal quadratic,Passive search,1e-07,999999,1000000,2.0,1.0,warning,"Limited to 1000000 evaluations; actual localization width = 2.800e-05 > requested 1.000e-07. Grid scan finished. h = 1.400e-05, localization width <= 2.800e-05."
48,Good unimodal quadratic,Passive search,1e-08,999999,1000000,2.0,1.0,warning,"Limited to 1000000 evaluations; actual localization width = 2.800e-05 > requested 1.000e-08. Grid scan finished. h = 1.400e-05, localization width <= 2.800e-05."
49,Multimodal Rastrigin,Brent (SciPy),0.1,13,16,1.3425730956770957e-11,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
50,Multimodal Rastrigin,Brent (SciPy),0.01,16,19,3.86877225484605e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
51,Multimodal Rastrigin,Brent (SciPy),0.001,16,19,3.994852002617379e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
52,Multimodal Rastrigin,Brent (SciPy),0.0001,16,19,4.007459977394511e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
53,Multimodal Rastrigin,Brent (SciPy),1e-05,16,19,4.008720774872225e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
54,Multimodal Rastrigin,Brent (SciPy),1e-06,16,19,4.008846854619995e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
55,Multimodal Rastrigin,Brent (SciPy),1e-07,16,19,4.008859462594773e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
56,Multimodal Rastrigin,Brent (SciPy),1e-08,16,19,4.00886072339225e-12,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
57,Multimodal Rastrigin,Dichotomy,0.1,7,14,3.9223437500000005,16.551722340740568,success,Dichotomy search converged successfully.
58,Multimodal Rastrigin,Dichotomy,0.01,11,22,3.9832216796875004,15.921571752657698,success,Dichotomy search converged successfully.
59,Multimodal Rastrigin,Dichotomy,0.001,14,28,3.9793972778320312,15.919273200666375,success,Dichotomy search converged successfully.
60,Multimodal Rastrigin,Dichotomy,0.0001,17,34,3.9797678520202635,15.919243842894742,success,Dichotomy search converged successfully.
61,Multimodal Rastrigin,Dichotomy,1e-05,21,42,3.979780496136665,15.919243794688851,success,Dichotomy search converged successfully.
62,Multimodal Rastrigin,Dichotomy,1e-06,24,48,3.979784368168272,15.919243792512294,success,Dichotomy search converged successfully.
63,Multimodal Rastrigin,Dichotomy,1e-07,27,54,3.9797838614799144,15.919243792461534,success,Dichotomy search converged successfully.
64,Multimodal Rastrigin,Dichotomy,1e-08,31,62,3.979783862243999,15.91924379246153,success,Dichotomy search converged successfully.
65,Multimodal Rastrigin,Fibonacci,0.1,10,12,-0.9955555555555556,0.9950297137939881,success,Fibonacci search converged successfully.
66,Multimodal Rastrigin,Fibonacci,0.01,15,17,0.9970695053224795,0.9958427141385346,success,Fibonacci search converged successfully.
67,Multimodal Rastrigin,Fibonacci,0.001,19,21,-0.9948059016992508,0.9949636828808082,success,Fibonacci search converged successfully.
68,Multimodal Rastrigin,Fibonacci,0.0001,24,26,-0.994946875602382,0.9949590845262861,success,Fibonacci search converged successfully.
69,Multimodal Rastrigin,Fibonacci,1e-05,29,31,0.9949564611530086,0.9949590580326362,success,Fibonacci search converged successfully.
70,Multimodal Rastrigin,Fibonacci,1e-06,34,36,-0.9949588650019772,0.9949590571035412,success,Fibonacci search converged successfully.
71,Multimodal Rastrigin,Fibonacci,1e-07,39,41,0.9949586599277025,0.994959057093391,success,Fibonacci search converged successfully.
72,Multimodal Rastrigin,Fibonacci,1e-08,43,45,-0.9949586361848798,0.9949590570932934,success,Fibonacci search converged successfully.
73,Multimodal Rastrigin,Golden Section,0.1,10,12,0.9906969855763118,0.9985591645998113,success,Golden Section search converged successfully.
74,Multimodal Rastrigin,Golden Section,0.01,15,17,0.9953367690390678,0.9949874103943319,success,Golden Section search converged successfully.
75,Multimodal Rastrigin,Golden Section,0.001,20,22,0.9949184000252214,0.9949593781421271,success,Golden Section search converged successfully.
76,Multimodal Rastrigin,Golden Section,0.0001,24,26,0.9949561243356665,0.9949590583458612,success,Golden Section search converged successfully.
77,Multimodal Rastrigin,Golden Section,1e-05,29,31,0.9949595259346172,0.9949590572497531,success,Golden Section search converged successfully.
78,Multimodal Rastrigin,Golden Section,1e-06,34,36,0.9949587229260327,0.994959057094734,success,Golden Section search converged successfully.
79,Multimodal Rastrigin,Golden Section,1e-07,39,41,0.9949586334257633,0.9949590570932951,success,Golden Section search converged successfully.
80,Multimodal Rastrigin,Golden Section,1e-08,44,46,0.99495863995472,0.9949590570932916,success,Golden Section search converged successfully.
81,Multimodal Rastrigin,Parabola,0.1,2,4,0.0,0.0,success,Parabola search converged successfully.
82,Multimodal Rastrigin,Parabola,0.01,2,4,0.0,0.0,success,Parabola search converged successfully.
83,Multimodal Rastrigin,Parabola,0.001,2,4,0.0,0.0,success,Parabola search converged successfully.
84,Multimodal Rastrigin,Parabola,0.0001,2,4,0.0,0.0,success,Parabola search converged successfully.
85,Multimodal Rastrigin,Parabola,1e-05,2,4,0.0,0.0,success,Parabola search converged successfully.
86,Multimodal Rastrigin,Parabola,1e-06,2,4,0.0,0.0,success,Parabola search converged successfully.
87,Multimodal Rastrigin,Parabola,1e-07,2,4,0.0,0.0,success,Parabola search converged successfully.
88,Multimodal Rastrigin,Parabola,1e-08,2,4,0.0,0.0,success,Parabola search converged successfully.
89,Multimodal Rastrigin,Passive search,0.1,205,206,-0.024975609756097583,0.12350075776260638,success,"Grid scan finished. h = 4.995e-02, localization width <= 9.990e-02."
90,Multimodal Rastrigin,Passive search,0.01,2048,2049,0.0,0.0,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
91,Multimodal Rastrigin,Passive search,0.001,20480,20481,0.0,0.0,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
92,Multimodal Rastrigin,Passive search,0.0001,204800,204801,0.0,0.0,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
93,Multimodal Rastrigin,Passive search,1e-05,999999,1000000,-5.1200051194300045e-06,5.20073939469512e-09,warning,"Limited to 1000000 evaluations; actual localization width = 2.048e-05 > requested 1.000e-05. Grid scan finished. h = 1.024e-05, localization width <= 2.048e-05."
94,Multimodal Rastrigin,Passive search,1e-06,999999,1000000,-5.1200051194300045e-06,5.20073939469512e-09,warning,"Limited to 1000000 evaluations; actual localization width = 2.048e-05 > requested 1.000e-06. Grid scan finished. h = 1.024e-05, localization width <= 2.048e-05."
95,Multimodal Rastrigin,Passive search,1e-07,999999,1000000,-5.1200051194300045e-06,5.20073939469512e-09,warning,"Limited to 1000000 evaluations; actual localization width = 2.048e-05 > requested 1.000e-07. Grid scan finished. h = 1.024e-05, localization width <= 2.048e-05."
96,Multimodal Rastrigin,Passive search,1e-08,999999,1000000,-5.1200051194300045e-06,5.20073939469512e-09,warning,"Limited to 1000000 evaluations; actual localization width = 2.048e-05 > requested 1.000e-08. Grid scan finished. h = 1.024e-05, localization width <= 2.048e-05."
97,Plateau asymmetric unimodal,Brent (SciPy),0.1,8,11,1.675292257616734,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
98,Plateau asymmetric unimodal,Brent (SciPy),0.01,12,15,1.3374535393173188,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
99,Plateau asymmetric unimodal,Brent (SciPy),0.001,17,20,1.3035502553393226,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
100,Plateau asymmetric unimodal,Brent (SciPy),0.0001,22,25,1.3003289204746737,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
101,Plateau asymmetric unimodal,Brent (SciPy),1e-05,27,30,1.3000296683912473,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
102,Plateau asymmetric unimodal,Brent (SciPy),1e-06,32,35,1.3000026752854348,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
103,Plateau asymmetric unimodal,Brent (SciPy),1e-07,36,39,1.300000371241199,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
104,Plateau asymmetric unimodal,Brent (SciPy),1e-08,41,44,1.3000000347618086,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
105,Plateau asymmetric unimodal,Dichotomy,0.1,7,14,1.6982812499999997,0.0,success,Dichotomy search converged successfully.
106,Plateau asymmetric unimodal,Dichotomy,0.01,10,20,1.6963886718749999,0.0,success,Dichotomy search converged successfully.
107,Plateau asymmetric unimodal,Dichotomy,0.001,14,28,1.6998145385742192,0.0,success,Dichotomy search converged successfully.
108,Plateau asymmetric unimodal,Dichotomy,0.0001,17,34,1.7000229570007326,0.05,success,Dichotomy search converged successfully.
109,Plateau asymmetric unimodal,Dichotomy,1e-05,20,40,1.700125722917557,0.05000000000000005,success,Dichotomy search converged successfully.
110,Plateau asymmetric unimodal,Dichotomy,1e-06,24,48,1.7002330901296736,0.05000000000000059,success,Dichotomy search converged successfully.
111,Plateau asymmetric unimodal,Dichotomy,1e-07,27,54,1.7006839025215141,0.05000000000004375,success,Dichotomy search converged successfully.
112,Plateau asymmetric unimodal,Dichotomy,1e-08,30,60,1.701438940136137,0.050000000000857435,success,Dichotomy search converged successfully.
113,Plateau asymmetric unimodal,Fibonacci,0.1,9,11,1.685393258426966,0.0,success,Fibonacci search converged successfully.
114,Plateau asymmetric unimodal,Fibonacci,0.01,14,16,1.6960486322188446,0.0,success,Fibonacci search converged successfully.
115,Plateau asymmetric unimodal,Fibonacci,0.001,19,21,1.69961629819112,0.0,success,Fibonacci search converged successfully.
116,Plateau asymmetric unimodal,Fibonacci,0.0001,24,26,1.6999827008147097,0.0,success,Fibonacci search converged successfully.
117,Plateau asymmetric unimodal,Fibonacci,1e-05,28,30,1.6999951925388201,0.0,success,Fibonacci search converged successfully.
118,Plateau asymmetric unimodal,Fibonacci,1e-06,33,35,1.6999995123254328,0.0,success,Fibonacci search converged successfully.
119,Plateau asymmetric unimodal,Fibonacci,1e-07,38,40,1.6999999953421372,0.0,success,Fibonacci search converged successfully.
120,Plateau asymmetric unimodal,Fibonacci,1e-08,43,45,1.699999999118868,0.0,success,Fibonacci search converged successfully.
121,Plateau asymmetric unimodal,Golden Section,0.1,10,12,1.6871977298292338,0.0,success,Golden Section search converged successfully.
122,Plateau asymmetric unimodal,Golden Section,0.01,14,16,1.6989279288029522,0.0,success,Golden Section search converged successfully.
123,Plateau asymmetric unimodal,Golden Section,0.001,19,21,1.6999856401845828,0.0,success,Golden Section search converged successfully.
124,Plateau asymmetric unimodal,Golden Section,0.0001,24,26,1.6999856401845828,0.0,success,Golden Section search converged successfully.
125,Plateau asymmetric unimodal,Golden Section,1e-05,29,31,1.699999555030941,0.0,success,Golden Section search converged successfully.
126,Plateau asymmetric unimodal,Golden Section,1e-06,34,36,1.6999999427548462,0.0,success,Golden Section search converged successfully.
127,Plateau asymmetric unimodal,Golden Section,1e-07,38,40,1.6999999993230015,0.0,success,Golden Section search converged successfully.
128,Plateau asymmetric unimodal,Golden Section,1e-08,43,45,1.6999999993230015,0.0,success,Golden Section search converged successfully.
129,Plateau asymmetric unimodal,Parabola,0.1,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
130,Plateau asymmetric unimodal,Parabola,0.01,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
131,Plateau asymmetric unimodal,Parabola,0.001,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
132,Plateau asymmetric unimodal,Parabola,0.0001,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
133,Plateau asymmetric unimodal,Parabola,1e-05,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
134,Plateau asymmetric unimodal,Parabola,1e-06,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
135,Plateau asymmetric unimodal,Parabola,1e-07,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
136,Plateau asymmetric unimodal,Parabola,1e-08,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
137,Plateau asymmetric unimodal,Passive search,0.1,160,161,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
138,Plateau asymmetric unimodal,Passive search,0.01,1600,1601,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
139,Plateau asymmetric unimodal,Passive search,0.001,16000,16001,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
140,Plateau asymmetric unimodal,Passive search,0.0001,160000,160001,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
141,Plateau asymmetric unimodal,Passive search,1e-05,999999,1000000,1.3000033000032998,0.0,warning,"Limited to 1000000 evaluations; actual localization width = 1.600e-05 > requested 1.000e-05. Grid scan finished. h = 8.000e-06, localization width <= 1.600e-05."
142,Plateau asymmetric unimodal,Passive search,1e-06,999999,1000000,1.3000033000032998,0.0,warning,"Limited to 1000000 evaluations; actual localization width = 1.600e-05 > requested 1.000e-06. Grid scan finished. h = 8.000e-06, localization width <= 1.600e-05."
143,Plateau asymmetric unimodal,Passive search,1e-07,999999,1000000,1.3000033000032998,0.0,warning,"Limited to 1000000 evaluations; actual localization width = 1.600e-05 > requested 1.000e-07. Grid scan finished. h = 8.000e-06, localization width <= 1.600e-05."
144,Plateau asymmetric unimodal,Passive search,1e-08,999999,1000000,1.3000033000032998,0.0,warning,"Limited to 1000000 evaluations; actual localization width = 1.600e-05 > requested 1.000e-08. Grid scan finished. h = 8.000e-06, localization width <= 1.600e-05."
145,Second special unimodal,Brent (SciPy),0.1,9,12,0.6473748631728402,0.5799943943455048,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
146,Second special unimodal,Brent (SciPy),0.01,10,13,0.6241985161990818,0.5794604087727553,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
147,Second special unimodal,Brent (SciPy),0.001,11,14,0.6268381951336499,0.5794510165269809,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
148,Second special unimodal,Brent (SciPy),0.0001,12,15,0.6268381951336499,0.5794510165269809,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
149,Second special unimodal,Brent (SciPy),1e-05,13,16,0.626863916741757,0.5794510157756984,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
150,Second special unimodal,Brent (SciPy),1e-06,14,17,0.6268621345610722,0.5794510157714351,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
151,Second special unimodal,Brent (SciPy),1e-07,14,17,0.6268621345610722,0.5794510157714351,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
152,Second special unimodal,Brent (SciPy),1e-08,22,25,0.6268621195410271,0.5794510157714349,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
153,Second special unimodal,Dichotomy,0.1,6,12,0.6296875,0.5794615199272433,success,Dichotomy search converged successfully.
154,Second special unimodal,Dichotomy,0.01,9,18,0.6239648437499999,0.579462132053894,success,Dichotomy search converged successfully.
155,Second special unimodal,Dichotomy,0.001,12,24,0.6268005371093749,0.5794510207776633,success,Dichotomy search converged successfully.
156,Second special unimodal,Dichotomy,0.0001,16,32,0.6268554678344724,0.5794510158298379,success,Dichotomy search converged successfully.
157,Second special unimodal,Dichotomy,1e-05,19,38,0.6268623950386046,0.579451015771535,success,Dichotomy search converged successfully.
158,Second special unimodal,Dichotomy,1e-06,22,44,0.6268626559010028,0.5794510157718147,success,Dichotomy search converged successfully.
159,Second special unimodal,Dichotomy,1e-07,26,52,0.6268621029605197,0.5794510157714353,success,Dichotomy search converged successfully.
160,Second special unimodal,Dichotomy,1e-08,29,58,0.6268621226613692,0.5794510157714349,success,Dichotomy search converged successfully.
161,Second special unimodal,Fibonacci,0.1,7,9,0.6423529411764706,0.5797625160811541,success,Fibonacci search converged successfully.
162,Second special unimodal,Fibonacci,0.01,12,14,0.6283209549071617,0.5794538204011357,success,Fibonacci search converged successfully.
163,Second special unimodal,Fibonacci,0.001,17,19,0.6266443434585027,0.5794510783885667,success,Fibonacci search converged successfully.
164,Second special unimodal,Fibonacci,0.0001,22,24,0.6268762939958592,0.579451016036635,success,Fibonacci search converged successfully.
165,Second special unimodal,Fibonacci,1e-05,26,28,0.6268631356372185,0.5794510157727978,success,Fibonacci search converged successfully.
166,Second special unimodal,Fibonacci,1e-06,31,33,0.6268619959609347,0.5794510157714551,success,Fibonacci search converged successfully.
167,Second special unimodal,Fibonacci,1e-07,36,38,0.626862130351557,0.579451015771435,success,Fibonacci search converged successfully.
168,Second special unimodal,Fibonacci,1e-08,41,43,0.6268621228004362,0.5794510157714349,success,Fibonacci search converged successfully.
169,Second special unimodal,Golden Section,0.1,8,10,0.6230589874905365,0.5794701895713413,success,Golden Section search converged successfully.
170,Second special unimodal,Golden Section,0.01,12,14,0.626617711359463,0.5794510946424092,success,Golden Section search converged successfully.
171,Second special unimodal,Golden Section,0.001,17,19,0.626938601290544,0.5794510234919453,success,Golden Section search converged successfully.
172,Second special unimodal,Golden Section,0.0001,22,24,0.6268628494535137,0.5794510157721382,success,Golden Section search converged successfully.
173,Second special unimodal,Golden Section,1e-05,27,29,0.6268628494535137,0.5794510157721382,success,Golden Section search converged successfully.
174,Second special unimodal,Golden Section,1e-06,31,33,0.6268622335442068,0.5794510157714521,success,Golden Section search converged successfully.
175,Second special unimodal,Golden Section,1e-07,36,38,0.6268621224711916,0.5794510157714349,success,Golden Section search converged successfully.
176,Second special unimodal,Golden Section,1e-08,41,43,0.6268621224711916,0.5794510157714349,success,Golden Section search converged successfully.
177,Second special unimodal,Parabola,0.1,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
178,Second special unimodal,Parabola,0.01,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
179,Second special unimodal,Parabola,0.001,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
180,Second special unimodal,Parabola,0.0001,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
181,Second special unimodal,Parabola,1e-05,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
182,Second special unimodal,Parabola,1e-06,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
183,Second special unimodal,Parabola,1e-07,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
184,Second special unimodal,Parabola,1e-08,21,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
185,Second special unimodal,Passive search,0.1,60,61,0.6500000000000001,0.5801405269541273,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
186,Second special unimodal,Passive search,0.01,600,601,0.625,0.5794556023431495,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
187,Second special unimodal,Passive search,0.001,6000,6001,0.627,0.579451040861746,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
188,Second special unimodal,Passive search,0.0001,60000,60001,0.6268500000000001,0.5794510159653202,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
189,Second special unimodal,Passive search,1e-05,600000,600001,0.6268600000000002,0.5794510157773648,success,"Grid scan finished. h = 5.000e-06, localization width <= 1.000e-05."
190,Second special unimodal,Passive search,1e-06,999999,1000000,0.626862626862627,0.5794510157717746,warning,"Limited to 1000000 evaluations; actual localization width = 6.000e-06 > requested 1.000e-06. Grid scan finished. h = 3.000e-06, localization width <= 6.000e-06."
191,Second special unimodal,Passive search,1e-07,999999,1000000,0.626862626862627,0.5794510157717746,warning,"Limited to 1000000 evaluations; actual localization width = 6.000e-06 > requested 1.000e-07. Grid scan finished. h = 3.000e-06, localization width <= 6.000e-06."
192,Second special unimodal,Passive search,1e-08,999999,1000000,0.626862626862627,0.5794510157717746,warning,"Limited to 1000000 evaluations; actual localization width = 6.000e-06 > requested 1.000e-08. Grid scan finished. h = 3.000e-06, localization width <= 6.000e-06."
